#   COLUMN 1                        2                        3                        4                        5                        6                        7                        8                        9                       10
#   TIMESTEP                     TIME                  Mass H0                  Mass H1                  Mass N0                  Mass N1                  Mass N2                  Mass N3                  Mass N4                  Mass N5
          57   5.5771813948875120e-10   1.1395684066553833e-42   2.7800453241615088e-46   1.1398464111877997e-72   1.1398464111877997e-72   1.1398464111877997e-72   1.1398464111877997e-72   1.1398464111877997e-72   1.1398464111877997e-72
          58   6.1373482273586780e-10   1.1395684066553834e-42   2.7800453241615115e-46   1.1398464111878002e-72   1.1398464111878002e-72   1.1398464111878002e-72   1.1398464111878002e-72   1.1398464111878002e-72   1.1398464111878002e-72
          59   6.7535317430769608e-10   1.1395684066553841e-42   2.7800453241617091e-46   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72
          60   7.4313336103670719e-10   1.1395684066553837e-42   2.7800453241615127e-46   1.1398464111878012e-72   1.1398464111878012e-72   1.1398464111878012e-72   1.1398464111878012e-72   1.1398464111878012e-72   1.1398464111878012e-72
          61   8.1576314639045590e-10   1.1395684066553831e-42   2.7800453241615497e-46   1.1398464111878022e-72   1.1398464111878022e-72   1.1398464111878022e-72   1.1398464111878022e-72   1.1398464111878022e-72   1.1398464111878022e-72
          62   8.8872739902036689e-10   1.1395684066553831e-42   2.7800453241616337e-46   1.1398464111878007e-72   1.1398464111878007e-72   1.1398464111878007e-72   1.1398464111878007e-72   1.1398464111878007e-72   1.1398464111878007e-72
          63   9.6364701232977859e-10   1.1395684066553829e-42   2.7800453241615905e-46   1.1398464111878007e-72   1.1398464111878007e-72   1.1398464111878007e-72   1.1398464111878007e-72   1.1398464111878007e-72   1.1398464111878007e-72
          64   1.0401932824121534e-09   1.1395684066553855e-42   2.7800453241617515e-46   1.1398464111878022e-72   1.1398464111878022e-72   1.1398464111878022e-72   1.1398464111878022e-72   1.1398464111878022e-72   1.1398464111878022e-72
          65   1.1173295884703978e-09   1.1395684066553860e-42   2.7800453241615745e-46   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72
          66   1.1957490314618049e-09   1.1395684066553837e-42   2.7800453241616169e-46   1.1398464111877995e-72   1.1398464111877995e-72   1.1398464111877995e-72   1.1398464111877995e-72   1.1398464111877995e-72   1.1398464111877995e-72
          67   1.2755806607712751e-09   1.1395684066553834e-42   2.7800453241615924e-46   1.1398464111878000e-72   1.1398464111878000e-72   1.1398464111878000e-72   1.1398464111878000e-72   1.1398464111878000e-72   1.1398464111878000e-72
          68   1.3562279109689473e-09   1.1395684066553857e-42   2.7800453241616411e-46   1.1398464111878012e-72   1.1398464111878012e-72   1.1398464111878012e-72   1.1398464111878012e-72   1.1398464111878012e-72   1.1398464111878012e-72
          69   1.4378690857951994e-09   1.1395684066553821e-42   2.7800453241615255e-46   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72
          70   1.5206276107152689e-09   1.1395684066553844e-42   2.7800453241615306e-46   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72
          71   1.6043536178169359e-09   1.1395684066553847e-42   2.7800453241616726e-46   1.1398464111878002e-72   1.1398464111878002e-72   1.1398464111878002e-72   1.1398464111878002e-72   1.1398464111878002e-72   1.1398464111878002e-72
          72   1.6890224585549099e-09   1.1395684066553826e-42   2.7800453241617589e-46   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72
          73   1.7746141287781762e-09   1.1395684066553837e-42   2.7800453241616788e-46   1.1398464111878012e-72   1.1398464111878012e-72   1.1398464111878012e-72   1.1398464111878012e-72   1.1398464111878012e-72   1.1398464111878012e-72
          74   1.8610467447356256e-09   1.1395684066553820e-42   2.7800453241616671e-46   1.1398464111878017e-72   1.1398464111878017e-72   1.1398464111878017e-72   1.1398464111878017e-72   1.1398464111878017e-72   1.1398464111878017e-72
          75   1.9483099342258062e-09   1.1395684066553842e-42   2.7800453241616652e-46   1.1398464111878015e-72   1.1398464111878015e-72   1.1398464111878015e-72   1.1398464111878015e-72   1.1398464111878015e-72   1.1398464111878015e-72
          76   2.0364566233273295e-09   1.1395684066553826e-42   2.7800453241615376e-46   1.1398464111878000e-72   1.1398464111878000e-72   1.1398464111878000e-72   1.1398464111878000e-72   1.1398464111878000e-72   1.1398464111878000e-72
          77   2.1254808450192410e-09   1.1395684066553801e-42   2.7800453241616111e-46   1.1398464111878000e-72   1.1398464111878000e-72   1.1398464111878000e-72   1.1398464111878000e-72   1.1398464111878000e-72   1.1398464111878000e-72
          78   2.2152431440792580e-09   1.1395684066553810e-42   2.7800453241618363e-46   1.1398464111878007e-72   1.1398464111878007e-72   1.1398464111878007e-72   1.1398464111878007e-72   1.1398464111878007e-72   1.1398464111878007e-72
          79   2.3057450160054170e-09   1.1395684066553813e-42   2.7800453241615660e-46   1.1398464111877997e-72   1.1398464111877997e-72   1.1398464111877997e-72   1.1398464111877997e-72   1.1398464111877997e-72   1.1398464111877997e-72
          80   2.3970157809666919e-09   1.1395684066553802e-42   2.7800453241614268e-46   1.1398464111878030e-72   1.1398464111878030e-72   1.1398464111878030e-72   1.1398464111878030e-72   1.1398464111878030e-72   1.1398464111878030e-72
          81   2.4890415689764460e-09   1.1395684066553839e-42   2.7800453241616403e-46   1.1398464111877997e-72   1.1398464111877997e-72   1.1398464111877997e-72   1.1398464111877997e-72   1.1398464111877997e-72   1.1398464111877997e-72
          82   2.5817849530456932e-09   1.1395684066553837e-42   2.7800453241615290e-46   1.1398464111878025e-72   1.1398464111878025e-72   1.1398464111878025e-72   1.1398464111878025e-72   1.1398464111878025e-72   1.1398464111878025e-72
          83   2.6752168276784588e-09   1.1395684066553850e-42   2.7800453241618550e-46   1.1398464111877990e-72   1.1398464111877990e-72   1.1398464111877990e-72   1.1398464111877990e-72   1.1398464111877990e-72   1.1398464111877990e-72
          84   2.7693403130908727e-09   1.1395684066553831e-42   2.7800453241615780e-46   1.1398464111877957e-72   1.1398464111877957e-72   1.1398464111877957e-72   1.1398464111877957e-72   1.1398464111877957e-72   1.1398464111877957e-72
          85   2.8641441108714032e-09   1.1395684066553855e-42   2.7800453241614890e-46   1.1398464111878017e-72   1.1398464111878017e-72   1.1398464111878017e-72   1.1398464111878017e-72   1.1398464111878017e-72   1.1398464111878017e-72
          86   2.9596077290464426e-09   1.1395684066553855e-42   2.7800453241615077e-46   1.1398464111878010e-72   1.1398464111878010e-72   1.1398464111878010e-72   1.1398464111878010e-72   1.1398464111878010e-72   1.1398464111878010e-72
          87   3.0557083548383464e-09   1.1395684066553817e-42   2.7800453241618488e-46   1.1398464111877990e-72   1.1398464111877990e-72   1.1398464111877990e-72   1.1398464111877990e-72   1.1398464111877990e-72   1.1398464111877990e-72
          88   3.1524416548691156e-09   1.1395684066553828e-42   2.7800453241617982e-46   1.1398464111877972e-72   1.1398464111877972e-72   1.1398464111877972e-72   1.1398464111877972e-72   1.1398464111877972e-72   1.1398464111877972e-72
          89   3.2498037599222511e-09   1.1395684066553842e-42   2.7800453241615621e-46   1.1398464111877997e-72   1.1398464111877997e-72   1.1398464111877997e-72   1.1398464111877997e-72   1.1398464111877997e-72   1.1398464111877997e-72
          90   3.3477826735410852e-09   1.1395684066553879e-42   2.7800453241615388e-46   1.1398464111878017e-72   1.1398464111878017e-72   1.1398464111878017e-72   1.1398464111878017e-72   1.1398464111878017e-72   1.1398464111878017e-72
